tahun ;Beras;Beras Kualitas Bawah I;Beras Kualitas Bawah II;Beras Kualitas Medium I;Beras Kualitas Medium II;Beras Kualitas Super I;Beras Kualitas Super II;Daging Ayam;Daging Ayam Ras Segar;Daging Sapi;Daging Sapi Kualitas 1;Daging Sapi Kualitas 2;Bawang Merah;Bawang Merah Ukuran Sedang;Bawang Putih;Bawang Putih Ukuran Sedang;Cabai Rawit;Cabai Rawit Hijau;Cabai Rawit Merah;Minyak Goreng;Minyak Goreng Curah;Minyak Goreng Kemasan Bermerk 1;Minyak Goreng Kemasan Bermerk 2;Gula Pasir;Gula Pasir Kualitas Premium;Gula Pasir Lokal
 01/ 2019;12,95;11,85;11,1;13,3;12,25;15,4;13,75;34,75;34,75;123,75;129,15;118,35;28,35;28,35;33;33;29,15;26,65;31,65;12,8;12;13;13,35;13,4;14;12,75
 02/ 2019;12,75;11,7;10,85;13,1;12,1;15,3;13,55;34,5;34,5;123,75;129,15;118,35;33,85;33,85;40,35;40,35;29,6;23,35;35,85;12,85;12,1;13,15;13,35;13,45;14;12,9
 03/ 2019;12,7;11,65;10,8;13,05;12,05;15,2;13,45;33,6;33,6;123,75;129,15;118,35;53,35;53,35;56,15;56,15;29,15;27,5;30,85;12,85;12,1;13,15;13,35;13,45;14;12,9
 04/ 2019;12,55;11,5;10,65;12,9;11,85;15,05;13,3;37,1;37,1;125,4;130,85;120;40,85;40,85;60;60;35;33,35;36,65;12,85;12,1;13,15;13,35;13,45;14;12,9
 05/ 2019;12,6;11,45;10,6;12,9;11,85;15,25;13,5;38,35;38,35;127,9;134,15;121,65;44,15;44,15;52,5;52,5;35;33,35;36,65;12,85;12,1;13,15;13,35;14,4;15;13,75
 06/ 2019;12,6;11,45;10,6;12,9;11,85;15,25;13,5;33,35;33,35;129,6;136,65;122,5;36,65;36,65;50,85;50,85;52,5;59,15;45,85;12,85;12,1;13,15;13,35;14,4;15;13,75
 07/ 2019;12,6;11,45;10,6;12,9;11,85;15,25;13,5;36,15;36,15;129,6;136,65;122,5;34,15;34,15;41,65;41,65;83,35;73,35;93,35;12,75;11,75;13,15;13,35;14,25;14,75;13,75
 08/ 2019;12,6;11,5;10,65;12,9;11,9;15,25;13,5;33,15;33,15;129,6;136,65;122,5;27,15;27,15;38;38;69,15;59,15;79,15;12,8;11,9;13,15;13,35;14,25;14,75;13,75
 09/ 2019;12,7;11,55;10,7;12,95;11,95;15,35;13,6;35,65;35,65;127,9;135;120,85;23,85;23,85;38,35;38,35;50,4;42,5;58,35;12,8;11,9;13,15;13,35;14,25;14,75;13,75
 10/ 2019;12,7;11,55;10,7;12,95;11,95;15,35;13,6;38,75;38,75;127,9;135;120,85;30;30;37,5;37,5;43,75;37,5;50;12,6;11,65;13;13,15;14,35;14,75;13,9
 11/ 2019;12,65;11,5;10,65;12,95;11,95;15,35;13,6;35,75;35,75;127,9;135;120,85;36,35;36,35;37,5;37,5;36,65;32,5;40,85;12,75;12,1;13;13,1;14,25;14,6;13,9
 12/ 2019;12,7;11,5;10,7;13;12;15,4;13,6;37;37;126,65;133,35;120;46,65;46,65;39,65;39,65;42,5;34,15;50,85;13,05;12,4;13,35;13,35;14,35;14,6;14,1
 01/ 2020;13,1;11,95;11,15;13,4;12,4;15,8;13,95;34;34;126,65;133,35;120;37,5;37,5;42,5;42,5;73,35;45;101,65;14,15;13,9;14,15;14,35;14,9;15,1;14,75
 02/ 2020;13,2;12;11,25;13,5;12,5;16;14,1;36,5;36,5;126,65;133,35;120;37,85;37,85;60,85;60,85;46,65;46,65;46,65;13,8;13,15;14;14,15;15;15,1;14,9
 03/ 2020;13,45;12,15;11,35;13,8;12,75;16,2;14,25;35,25;35,25;126,65;133,35;120;47,5;47,5;54,15;54,15;50;37,5;62,5;13,7;12,75;14,15;14,15;18,95;18,75;19,15
 04/ 2020;13,5;12,3;11,5;13,9;12,8;16,3;14,3;31,85;31,85;126,65;133,35;120;56,65;56,65;45,85;45,85;35,4;32,5;38,35;13,75;12,85;14,25;14,15;19,15;19,15;19,15
 05/ 2020;13,5;12,2;11,4;13,9;12,8;16,3;14,3;39,85;39,85;137,5;143,35;131,65;66,65;66,65;40;40;33,75;30,85;36,65;13,7;12,75;14,25;14,15;18,75;19;18,5
 06/ 2020;13,5;12,2;11,4;13,9;12,8;16,3;14,3;41,5;41,5;126,65;133,35;120;47,5;47,5;33,35;33,35;26,65;24,15;29,15;13,7;12,75;14,15;14,15;16,75;17,65;15,85
 07/ 2020;13,5;12,2;11,4;13,9;12,8;16,3;14,3;34,4;34,4;126,65;133,35;120;35,85;35,85;29,15;29,15;30,4;27,5;33,35;13,85;13;14,25;14,25;15,5;15,85;15,15
 08/ 2020;13,45;12,15;11,3;13,9;12,8;16,3;14,15;28,85;28,85;126,65;133,35;120;34,15;34,15;37,5;37,5;27,9;28,35;27,5;14,05;13,35;14,4;14,4;15,5;15,85;15,15
 09/ 2020;13,45;12,15;11,3;13,9;12,8;16,3;14,15;29,5;29,5;126,65;133,35;120;34,15;34,15;36,65;36,65;27,5;25;30;14,85;14,85;14,85;14,85;14,9;15,35;14,5
 10/ 2020;13,45;12,15;11,3;13,9;12,8;16,3;14,15;29,5;29,5;126,65;133,35;120;34,15;34,15;36,65;36,65;27,5;25;30;14,85;14,85;14,85;14,85;14,9;15,35;14,5
 11/ 2020;13,45;12,15;11,3;13,95;12,75;16,35;14,2;34,15;34,15;126,65;133,35;120;37,5;37,5;37,5;37,5;40,4;31,65;49,15;14,95;14,85;15;15;15,1;15,5;14,65
 12/ 2020;13,45;12,15;11,3;13,95;12,75;16,35;14,2;37,15;37,15;126,65;133,35;120;35;35;35,85;35,85;62,9;54,15;71,65;14,95;14,85;15;15;15,1;15,5;14,65
 01/ 2021;13,45;12,15;11,3;13,95;12,75;16,35;14,2;37,15;37,15;133,35;139,15;127,5;35;35;36,15;36,15;86,25;85,85;86,65;14,95;14,85;15;15;14,75;15,15;14,35
 02/ 2021;13,45;12,15;11,3;13,95;12,75;16,25;14,2;36,4;36,4;128,75;135;122,5;45;45;36,65;36,65;102,5;76,65;128,35;14,95;14,85;15;15;14,75;15,15;14,35
 03/ 2021;13,4;12,1;11,25;13,95;12,75;16,1;14,2;37,5;37,5;126,65;133,35;120;38,35;38,35;35,85;35,85;90,85;63,35;118,35;15,4;15,15;15,5;15,5;14,75;15,15;14,35
 04/ 2021;13,45;12,1;11,2;14,05;12,85;16,2;14,15;37,4;37,4;136,65;143,35;130;36,35;36,35;37,5;37,5;55;45;65;15,4;15,15;15,65;15,35;14,4;14,85;14
