tahun ;Beras;Beras Kualitas Medium I;Beras Kualitas Super I;Daging Ayam;Daging Ayam Ras Segar;Daging Sapi;Daging Sapi Kualitas 1;Daging Sapi Kualitas 2;Bawang Merah;Bawang Merah Ukuran Sedang;Bawang Putih;Bawang Putih Ukuran Sedang;Cabai Rawit;Cabai Rawit Hijau;Cabai Rawit Merah;Minyak Goreng;Minyak Goreng Curah;Minyak Goreng Kemasan Bermerk 1;Minyak Goreng Kemasan Bermerk 2;Gula Pasir;Gula Pasir Kualitas Premium;Gula Pasir Lokal
 01/ 2019;10,75;10,35;11,15;29,15;29,15;111,9;113,75;110;35,35;35,35;28,35;28,35;28,35;28,35;28,35;14,1;11,35;16,15;15,75;13;16,5;11,75
 02/ 2019;10,75;10,35;11,15;29,15;29,15;111,9;113,75;110;34;34;29,35;29,35;38,85;38,85;38,85;14,45;12;16,15;15,75;12,75;16,5;11,5
 03/ 2019;10,75;10,35;11,15;29,6;29,6;111,9;113,75;110;39,35;39,35;39;39;42,5;42,5;42,5;14,45;11,85;16,35;15,75;13,2;16,5;12,15
 04/ 2019;10,75;10,25;11,15;36,25;36,25;118,75;120;115;48,65;48,65;64,35;64,35;71,65;71,65;71,65;14,1;11,4;16;16;13,95;16,75;13
 05/ 2019;10,75;10,25;11,15;30;30;120;120;120;39,65;39,65;53,35;53,35;69,15;69,15;69,15;14,6;12,5;16;16;14,65;16,75;13,9
 06/ 2019;10,75;10,25;11,15;37,65;37,65;121,25;121,25;122,5;45;45;48,35;48,35;39,15;39,15;39,15;16,05;12,65;18,55;17,55;14,2;16;13,65
 07/ 2019;10,75;10,15;11,35;31,65;31,65;118,75;118,75;122,5;34,85;34,85;43,15;43,15;70,85;70,85;70,85;15,75;12,35;18,55;16,6;14,15;16;13,5
 08/ 2019;10,7;10,15;11,25;25,4;25,4;121,25;121,25;122,5;28,5;28,5;40,15;40,15;52,5;52,5;52,5;16,25;13,65;18,55;16,6;14,15;16;13,5
 09/ 2019;10,7;10,15;11,25;25;25;121,25;121,25;122,5;25,15;25,15;36;36;86,65;86,65;86,65;15,8;12,5;18,55;16,6;14,15;16;13,5
 10/ 2019;10,7;10,15;11,25;28,75;28,75;121,25;121,25;122,5;28,65;28,65;37,35;37,35;118,35;118,35;118,35;15,65;12,15;18,55;16,6;14,25;16;13,75
 11/ 2019;10,7;10,15;11,25;29,15;29,15;121,25;121,25;122,5;35,65;35,65;37,65;37,65;75;75;75;15,9;12,9;18,55;16,6;14,5;16;14
 12/ 2019;10,7;10,15;11,25;29,15;29,15;121,25;121,25;122,5;35,5;35,5;37,65;37,65;36,65;36,65;36,65;15,95;13,1;18,55;16,6;14,5;16;14
 01/ 2020;10,7;10,15;11,25;27,5;27,5;121,25;121,25;122,5;48,85;48,85;40,5;40,5;76,65;55;80,85;16,8;14,85;18,55;17,1;15,25;16;15
 02/ 2020;10,7;10,15;11,25;27,5;27,5;121,25;121,25;122,5;42,5;42,5;51,65;51,65;29,35;20;31;14,95;13;16,5;15,75;16,15;16;16
 03/ 2020;10,7;10,15;11,25;25,85;25,85;121,25;121,25;122,5;42,85;42,85;52,5;52,5;56,25;50;57,5;14,95;13;16,5;15,75;17,65;17;18
 04/ 2020;11,4;11;11,75;23,75;23,75;120;120;120;42,65;42,65;49,15;49,15;43,35;40;44,15;15,1;13,35;16,4;16,15;19,85;20;19,65
 05/ 2020;11,35;10,9;11,75;29,15;29,15;120;120;120;75,85;75,85;41;41;31,65;20;34,15;15,05;13,35;16,25;16,15;19,6;20;19,35
 06/ 2020;11,3;10,9;11,65;30,85;30,85;120;120;120;48,35;48,35;30,35;30,35;31,85;25;33,5;15,35;13,5;16,6;16,5;17,15;19;16,65
 07/ 2020;11,15;10,65;11,6;28,75;28,75;120;120;120;35,5;35,5;28,5;28,5;36,5;35;37,35;15,85;13,6;17,15;17,95;16,65;18,25;16,15
 08/ 2020;11;10,6;11,4;23,35;23,35;120;120;120;33,5;33,5;27,35;27,35;34,5;25;36,65;16,25;13,9;17,7;17,95;16,05;16,75;15,65
 09/ 2020;10,9;10,5;11,35;28,75;28,75;120;120;120;34,35;34,35;28;28;32,6;25;33,85;16,6;15,35;17,35;17,7;15,1;16,5;14,65
 10/ 2020;10,9;10,5;11,35;29,6;29,6;120;120;120;39,85;39,85;32,85;32,85;57,25;35;60,15;16,6;15,35;17,35;17,7;14,9;16,5;14,5
 11/ 2020;10,85;10,35;11,35;30;30;120;120;120;43,15;43,15;32,85;32,85;36,1;30;37,35;17,45;15,85;18,5;18,65;15,25;16,5;14,85
 12/ 2020;10,85;10,35;11,35;30;30;120;120;120;34,35;34,35;33,35;33,35;63,75;55;65,85;17,3;15,85;18,5;18,1;15,25;16,5;14,85
 01/ 2021;10,85;10,35;11,35;29,4;29,4;120;120;120;31,65;31,65;32,5;32,5;60,4;50;63,35;17,35;15,65;18,4;18,65;15,25;16,5;14,85
 02/ 2021;10,85;10,35;11,35;28,35;28,35;120;120;120;35,5;35,5;33;33;86,25;65;90;17,35;15,85;18,2;18,75;14,9;16,5;14,5
 03/ 2021;10,85;10,35;11,35;27,1;27,1;120;120;120;36,65;36,65;33,35;33,35;96,65;90;98,35;17,75;16,65;18,2;18,75;14,75;16,5;14,35
 04/ 2021;10,85;10,35;11,35;30;30;120;120;120;32,35;32,35;35;35;68,75;50;72,5;17,6;16,2;18,2;19,05;14,7;16,5;14,25
 05/ 2021;10,85;10,35;11,35;28,55;28,55;122,5;122,5;125;38;38;37,65;37,65;65,85;55;68,35;18,2;17,5;18,4;19,15;14,65;16,5;14,1
 06/ 2021;10,85;10,35;11,35;28,35;28,35;122,5;122,5;125;36;36;34,15;34,15;87,5;75;90;18,15;16,65;18,95;19,15;14,6;16,5;14
 07/ 2021;11;10,65;11,35;24,1;24,1;122,5;122,5;125;40;40;36,65;36,65;59,6;50;60,85;17,75;17,65;17,65;18,15;15,25;16,5;14,65
 08/ 2021;10,95;10,6;11,35;21,25;21,25;122,5;122,5;125;35,65;35,65;35,5;35,5;40,85;40;41,65;18,35;19,1;17,65;18,15;14,6;16,5;14
 09/ 2021;11;10,65;11,35;24,6;24,6;122,5;122,5;125;35,15;35,15;35,5;35,5;45;40;45,85;18,3;18,9;17,65;18,15;14,4;16,5;13,85
 10/ 2021;11;10,65;11,35;27,1;27,1;122,5;122,5;125;34,15;34,15;34,15;34,15;39,6;40;40;23,05;21,85;23,35;23,75;14,65;16,5;14,1
 11/ 2021;10,9;10,65;11,15;28;28;122,5;122,5;125;33,35;33,35;34,15;34,15;40,4;40;41,65;23,9;21,65;24,6;25,65;14,65;16,5;14,1
 12/ 2021;10,9;10,65;11,15;28,35;28,35;122,5;122,5;125;36,85;36,85;36,15;36,15;90,4;70;92,5;25,55;21,65;27,3;27,85;14,65;16,5;14,1
 01/ 2022;11;10,65;11,35;28,35;28,35;122,5;122,5;125;42,5;42,5;37,85;37,85;38,35;35;39,15;24,85;21,75;26,65;25,5;15,2;17;14,75
 02/ 2022;11;10,65;11,35;28,35;28,35;122,5;122,5;125;42,5;42,5;37,85;37,85;38,35;35;39,15;24,85;21,75;26,65;25,5;15,2;17;14,75
 03/ 2022;11;10,65;11,35;28,35;28,35;127,5;127,5;135;41;41;38;38;57,5;35;61,65;29,9;24,65;32,7;35;15,45;16,5;15,1
 04/ 2022;11;10,65;11,35;29;29;135;135;140;40;40;38,85;38,85;38,35;35;39,15;32,3;28,5;34,6;35;15,75;16,5;15,5
 05/ 2022;11;10,65;11,35;34,15;34,15;135;135;140;48,35;48,35;36,65;36,65;46,65;35;49,15;29,7;21,85;34,7;34,85;15,55;16,5;15,25
 06/ 2022;11,1;10,75;11,4;29,15;29,15;135;135;140;83,35;83,35;37,5;37,5;76,65;35;85;29,85;23,15;33,35;35,5;15,7;16,5;15,4
 07/ 2022;10,9;10,5;11,35;26,6;26,6;135;135;140;72,5;72,5;36,65;36,65;52,9;35;56,65;25,55;15,5;30,95;34,4;15,7;16,5;15,4
 08/ 2022;10,95;10,6;11,35;22,25;22,25;135;135;140;47,5;47,5;37,5;37,5;56,65;56,65;56,65;25,25;15;30,95;33,75;15,65;16;15,4
 09/ 2022;11,35;11,1;11,6;19,95;19,95;132,5;132,5;135;40,5;40,5;36,65;36,65;59,15;59,15;59,15;22,6;14,6;26,55;30,95;15,65;16;15,4
