tahun ;Beras;Beras Kualitas Bawah I;Beras Kualitas Bawah II;Beras Kualitas Medium I;Beras Kualitas Medium II;Beras Kualitas Super I;Beras Kualitas Super II;Daging Ayam;Daging Ayam Ras Segar;Daging Sapi;Daging Sapi Kualitas 1;Bawang Merah;Bawang Merah Ukuran Sedang;Bawang Putih;Bawang Putih Ukuran Sedang;Cabai Rawit;Cabai Rawit Hijau;Cabai Rawit Merah;Minyak Goreng;Minyak Goreng Curah;Minyak Goreng Kemasan Bermerk 1;Minyak Goreng Kemasan Bermerk 2;Gula Pasir;Gula Pasir Kualitas Premium;Gula Pasir Lokal
 01/ 2019;12,15;11,1;10,55;12,15;11,9;13,95;13,05;27,25;27,25;121,25;121,25;24,25;24,25;21,25;21,25;32,4;25,25;39,5;11,75;10;13,15;12,15;12,95;13,75;12,1
 02/ 2019;12,15;11,1;10,55;12,15;11,9;13,95;13,05;30;30;121,25;121,25;24,9;24,9;23,75;23,75;29,65;23,9;35,4;11,8;10,15;13,15;12,15;12,95;13,75;12,1
 03/ 2019;12,1;11,1;10,55;12,1;11,85;13,95;12,95;30;30;121,25;121,25;35,25;35,25;28,25;28,25;27,7;26,4;29;11,8;10,1;13,15;12,15;13;13,75;12,15
 04/ 2019;12,1;11,1;10,55;12,1;11,85;13,95;12,95;36,9;36,9;121,25;121,25;32,5;32,5;45,75;45,75;31,9;30;33,75;11,8;10,1;13,15;12,15;13,1;13,75;12,4
 05/ 2019;12,1;11,1;10,55;12,1;11,85;13,95;12,95;31,75;31,75;120;120;32,15;32,15;33,9;33,9;35,15;34,15;36,15;11,8;10,1;13,15;12,15;13,4;13,95;12,8
 06/ 2019;12,1;11,1;10,55;12,1;11,85;13,95;12,95;29,9;29,9;121,25;121,25;33,5;33,5;34,25;34,25;52,35;57;47,65;11,8;10,1;13,15;12,15;13,4;13,95;12,8
 07/ 2019;12,1;11,1;10,55;12,1;11,85;13,95;12,95;29,9;29,9;121,25;121,25;24,75;24,75;33;33;81,7;74,65;88,75;11,6;9,85;12,75;12,15;13,3;13,95;12,65
 08/ 2019;12,1;11,1;10,55;12,1;11,85;13,95;12,95;25,75;25,75;121,25;121,25;16;16;30,15;30,15;67,85;45,75;89,9;11,6;9,85;12,75;12,15;13,3;13,95;12,65
 09/ 2019;12,1;11,1;10,55;12,15;12;13,95;12,95;30,5;30,5;121,25;121,25;16,4;16,4;29,15;29,15;50,9;40,15;61,65;11,7;9,95;12,9;12,15;13,3;13,95;12,65
 10/ 2019;12,1;11,1;10,55;12,15;12;13,95;12,95;31,5;31,5;121,25;121,25;22;22;29,15;29,15;39,45;32,25;46,65;11,7;9,95;12,9;12,15;13,5;13,95;13,05
 11/ 2019;12,15;11,1;10,65;12,15;12;13,95;12,95;32,9;32,9;121,25;121,25;27,25;27,25;29,15;29,15;36,45;24,75;48,15;12;10,9;12,9;12,15;13,5;13,95;13,05
 12/ 2019;12,15;11,1;10,65;12,15;12;13,95;12,95;34,5;34,5;121,25;121,25;33,15;33,15;29,15;29,15;41,95;33,9;50;12,2;11,45;13;12,2;13,5;13,95;13,05
 01/ 2020;12,15;11,1;10,65;12,15;12;13,95;12,95;27,2;27,2;121,25;121,25;28,25;28,25;33,15;33,15;61,9;37,5;86,25;12,8;12,65;13,15;12,65;13,6;14;13,1
 02/ 2020;12,15;11,1;10,65;12,15;12;13,95;12,95;30;30;121,25;121,25;26,9;26,9;37,4;37,4;42,4;37,9;46,9;12,65;12,2;13,15;12,65;13,9;14,1;13,65
 03/ 2020;11,8;10,6;10,15;11,75;11,4;13,95;12,95;28,25;28,25;121,25;121,25;31,75;31,75;36,75;36,75;36,35;24,9;47,75;12,45;11,45;13,35;12,45;16,05;14,1;18
